# Customer production filter set, 23 programs total.
# Extension of dex-programs.tsv: adds SPL Token, Token-2022, and System
# Program to cover the holdings / P&L / new-account detection surface.
#
# Format: short_name <TAB> program_id <TAB> feature_surface
# Comment a row out with '#' to skip it in the matrix.

# --- AMMs (drive limit orders, quick buy/sell, watchlist) ---
pump_amm	pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA	pump.fun graduated AMM pools
raydium_amm_v4	675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8	Raydium AMM v4
raydium_cpmm	CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C	Raydium CPMM
raydium_clmm	CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK	Raydium CLMM
whirlpool	whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc	Orca Whirlpool
meteora_dlmm	LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo	Meteora DLMM

# --- Launchpads / bonding curves (drive sniper) ---
pumpfun	6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P	pump.fun bonding curve
meteora_dbc	dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN	Meteora Dynamic Bonding Curve
moonshot	MoonCVVNZFSYkqNXP6bxHLPL6QQJiMagDL3qcqUQTrG	Moonshot
boop	boop8hVGQGqehUK2iVEMEnMrL5RbjywRzHKBmBE7ry4	Boop
heaven	HEAVENoP2qxoeuF8Dj2oT1GHEnu49U5mJYkdeC8BAX2o	Heaven
launchlab	LanMV9sAd7wArD4vJFi2qDdfnVhFxYSUg6eADduJ3uj	Raydium LaunchLab
wave	waveQX2yP3H1pVU8djGvEHmYg8uamQ84AuyGtpsrXTF	Wave

# --- Holdings / P&L / new-account detection (highest-volume programs) ---
spl_token	TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA	SPL Token
token_2022	TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb	Token-2022
system	11111111111111111111111111111111	System Program

# --- Metadata / security flags / fees (lower frequency, lower priority) ---
metaplex_metadata	metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s	Metaplex Token Metadata — token name/image
raydium_lock	LockrWmn6K5twhz3y9w1dQERbmgSaRkfnTeTKbpofwE	Raydium Lock — LP burn / lock detection
pumpfun_fee	pfeeUxB6jkeY1Hxd7CsFCAjcbHA9rWtchMGdZ6VojVZ	pump.fun fee program
agent	AgenTMiC2hvxGebTsgmsD4HHBa8WEcqGFf87iwRRxLo7	Agent program
cpamm_variant	cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG	cpamm variant (unidentified)
unknown_eo7w	Eo7WjKq67rjJQSZxS6z3YkapzY3eMj6Xy8X5EQVn5UaB	(unidentified)
unknown_4bws	4bwSuzwwTd1TttXF7zC8EpPKe9hL7QcLCRnJ2nTWCvmq	(unidentified)
